transaction_id,wallet_id,transaction_amount,transaction_fee,block_confirmation_time,input_count,output_count,wallet_age_days,total_wallet_transactions,avg_wallet_transaction_value,cross_border_flag,mixing_service_used,darknet_association_score,transaction_velocity_24h,unusual_pattern_score,risk_label
TX65,W19692,5.838278,0.00218,527,4,1,1510,1852,5.191547,0,0,0.064,168,0.239,0
TX66,W55758,6.454127,0.007861,588,7,1,766,8956,17.553799,0,0,0.66,42,0.645,0
TX67,W82409,26.84342,0.00689,505,19,8,1435,4841,14.634742,0,0,0.796,81,0.858,1
TX68,W81211,46.828574,0.006842,564,7,17,1447,4153,17.36956,0,0,0.063,164,0.392,1
TX69,W75697,15.418298,0.005571,352,14,8,3311,4783,14.391238,0,0,0.848,192,0.29,0
TX70,W47065,43.477189,0.005679,276,16,19,1322,4210,14.52972,0,1,0.123,53,0.06,0
TX71,W42606,38.205015,0.007383,434,9,4,3114,5850,23.315025,1,1,0.176,117,0.605,0
TX72,W21534,12.391374,0.002773,237,2,18,1011,7236,23.033093,1,0,0.836,149,0.755,0
TX73,W50397,1.818001,0.003592,564,16,13,88,2352,0.959537,0,0,0.125,174,0.968,0
TX74,W11016,5.093261,0.008729,212,5,7,176,3046,10.347577,0,0,0.674,172,0.612,0
TX75,W99789,36.424968,0.003158,457,12,3,2975,9292,12.76916,0,0,0.295,152,0.448,0
TX76,W65591,9.984287,0.005508,505,15,14,2326,5743,8.954033,0,0,0.248,19,0.935,0
TX77,W99812,18.564175,0.007056,593,3,9,1367,1648,1.248465,0,1,0.65,29,0.179,0
TX78,W33247,25.085457,0.009999,223,9,3,1321,2782,11.812735,0,0,0.107,178,0.708,0
TX79,W34300,36.273683,0.004409,85,7,7,3352,8057,24.392653,0,1,0.575,198,0.327,0
TX80,W84065,5.662448,0.004338,553,4,15,2472,9692,1.81456,0,0,0.925,130,0.861,0
TX81,W92798,20.318914,0.008442,545,9,4,1440,2,20.418794,0,0,0.851,69,0.745,0
TX82,W19268,24.25416,0.008074,255,15,5,1843,8015,4.899358,1,0,0.851,79,0.334,0
TX83,W96807,27.041812,0.007338,419,7,9,33,5160,14.424106,0,0,0.303,76,0.775,0
TX84,W22185,40.918214,0.004686,90,11,3,1052,7851,9.681897,1,0,0.701,6,0.89,0
TX85,W73704,8.584738,0.003307,221,19,16,209,2105,8.731716,0,0,0.78,28,0.252,0
TX86,W96779,40.391765,0.006126,200,11,16,2650,6156,21.761636,0,0,0.901,182,0.572,0
TX87,W49099,34.644229,0.008775,301,1,19,1618,8650,24.337134,0,0,0.264,1,0.42,0
TX88,W18571,27.793985,0.008849,48,13,9,248,7492,9.672811,0,0,0.761,125,0.926,0
TX89,W48044,34.976694,0.001174,397,13,1,3450,4787,16.01468,0,0,0.232,153,0.972,1
TX90,W61214,20.601475,0.004341,447,2,17,2895,8733,13.91478,1,0,0.028,172,0.104,0
TX91,W71228,6.920741,0.004701,94,17,12,1382,1821,1.932271,0,0,0.482,53,0.549,0
TX92,W58984,33.288596,0.009778,159,19,9,3775,2387,1.038611,0,1,0.766,114,0.531,0
TX93,W50774,26.234091,0.006812,482,15,5,790,3443,19.337389,0,0,0.214,37,0.869,0
TX94,W12568,31.969101,0.004132,63,19,15,18,8121,9.869411,0,0,0.049,8,0.779,0
TX95,W72592,16.900601,0.000358,114,10,13,2261,7266,7.696278,0,1,0.374,99,0.287,0
TX96,W77563,45.343422,0.005697,483,10,19,1747,9275,24.639713,0,0,0.203,69,0.522,0
TX97,W12695,29.368906,0.001051,598,9,3,2562,376,2.139898,0,0,0.382,53,0.378,0
TX98,W58190,4.271039,0.008361,53,19,2,1118,5156,6.733873,1,0,0.921,174,0.353,0
TX99,W15258,22.49075,0.00755,381,11,13,857,9729,21.421474,1,1,0.744,93,0.731,0
TX100,W97538,37.818046,0.004659,36,6,7,2970,7002,10.380819,1,0,0.373,175,0.599,0
TX101,W49504,39.706934,0.004349,490,2,9,2855,8579,14.610335,1,0,0.325,77,0.199,0
TX102,W43159,24.730358,0.008984,535,10,10,1041,9004,1.219071,0,0,0.921,151,0.621,0
TX103,W23986,44.737484,0.002956,7,15,1,1263,183,23.008095,1,0,0.889,81,0.464,0
TX104,W71858,13.384154,0.002565,382,5,16,2576,9663,3.431599,0,1,0.604,129,0.341,0
TX105,W22666,20.530524,0.009398,576,18,11,1691,7762,5.342019,0,0,0.358,95,0.067,0
TX106,W48660,44.929947,0.008112,246,7,8,2225,9976,3.928337,0,0,0.792,89,0.929,1
TX107,W13561,44.81294,0.008224,545,3,13,3203,3300,12.442539,1,0,0.664,30,0.862,0
TX108,W36854,34.285953,0.002032,591,16,16,298,2877,20.423178,0,0,0.565,148,0.304,0
TX109,W74505,42.949168,0.001519,586,17,3,1087,7217,6.680401,0,0,0.739,77,0.556,0
TX110,W62251,4.439575,0.000358,599,2,13,998,2860,3.566588,1,0,0.134,63,0.865,0
TX111,W32662,43.249884,0.002447,361,16,17,2845,5044,10.253942,0,0,0.93,48,0.519,0
TX112,W18392,16.031675,0.007764,201,1,6,3202,1823,24.541561,0,0,0.973,174,0.142,1
TX113,W40535,8.917397,0.002476,423,14,10,2411,2993,0.286341,0,0,0.354,128,0.475,0
TX114,W88603,11.969252,0.007318,277,16,9,2664,4398,12.604909,0,0,0.947,161,0.314,0
TX115,W62256,20.899007,0.002594,506,9,18,3342,6760,16.737509,0,0,0.796,159,0.458,0
TX116,W99135,12.560349,0.004013,39,17,17,2316,1089,20.169952,0,0,0.941,190,0.848,0
TX117,W45222,16.029059,0.009833,465,8,7,500,1493,18.657309,1,0,0.917,62,0.409,0
TX118,W87373,6.749789,0.002524,257,9,2,3864,5597,1.869947,0,0,0.201,179,0.799,0
TX119,W89575,14.809542,0.003826,516,2,11,3612,1354,11.552142,0,0,0.26,166,0.233,0
TX120,W94651,28.614618,0.003081,52,13,18,3559,2057,1.977952,0,0,0.261,75,0.594,0
TX121,W73335,22.093244,0.001185,189,1,3,914,1428,15.500184,1,0,0.094,47,0.426,0
TX122,W20965,17.336591,0.00495,495,7,14,217,643,1.935018,0,0,0.398,130,0.973,0
TX123,W34538,37.32286,0.003849,277,18,13,3429,4924,1.219886,0,0,0.363,141,0.001,0
TX124,W80592,44.675605,0.006979,531,5,17,646,4961,7.657643,0,0,0.344,85,0.364,0
TX125,W18110,37.839704,0.008194,132,7,11,1005,7474,23.471407,0,0,0.349,25,0.813,0
TX126,W89309,16.600703,0.005488,214,12,7,1310,8840,17.752813,0,0,0.062,34,0.392,0
TX127,W37266,37.222364,0.000419,146,17,3,3551,914,0.110609,0,0,0.186,102,0.218,0
TX128,W62992,7.599857,0.006227,177,5,3,2594,3870,7.125353,0,0,0.296,3,0.853,0
TX129,W92948,6.516769,0.000648,451,12,2,2771,6241,0.447272,0,0,0.889,172,0.592,0
TX130,W16910,17.282006,0.006202,123,19,16,1722,2326,7.36483,1,0,0.927,25,0.557,0
TX131,W10206,40.385311,0.006882,15,13,11,3484,9098,17.140449,0,0,0.285,106,0.401,0
TX132,W97054,12.318166,0.002058,308,16,14,968,993,18.996869,0,1,0.694,180,0.158,0
TX133,W97897,3.163607,0.008212,158,19,3,3403,4592,20.104654,0,0,0.851,191,0.576,0
TX134,W33419,6.586345,0.00912,327,10,7,2741,3559,22.750653,0,0,0.506,153,0.505,1
TX135,W60636,42.93739,0.00815,541,12,8,784,9425,9.151173,0,0,0.756,89,0.402,0
TX136,W60015,31.68953,0.003121,449,7,13,922,6153,21.566317,0,0,0.976,114,0.077,0
TX137,W64268,12.660805,0.005908,346,14,19,1473,1327,18.194442,0,0,0.162,123,0.651,0
TX138,W97939,27.765236,0.009157,225,10,11,1721,7827,13.448519,0,0,0.07,156,0.632,0
TX139,W28141,26.379454,0.003275,114,8,1,3999,4013,23.866223,0,0,0.64,95,0.559,0
TX140,W90356,32.772143,0.008218,414,15,19,3069,5595,23.694046,1,0,0.508,60,0.131,0
TX141,W81910,11.660145,0.000194,422,16,13,2075,2721,22.441131,0,0,0.297,141,0.303,0
TX142,W66044,43.220285,0.000136,509,8,17,3184,1791,5.063661,0,0,0.917,180,0.47,0
TX143,W77214,15.469119,0.007621,44,4,9,1516,410,5.20509,0,0,0.846,186,0.734,0
TX144,W43827,34.706889,0.007638,513,17,19,3889,1655,22.526064,0,0,0.264,196,0.223,0
TX145,W65820,0.807216,0.007911,463,4,19,3209,7279,9.95385,0,0,0.774,157,0.801,0
TX146,W72623,18.633484,0.009307,267,11,6,3610,5538,19.938132,0,0,0.828,21,0.319,0
TX147,W91734,17.586139,0.001267,122,13,7,2310,5823,17.176646,0,0,0.325,93,0.666,0
TX148,W85450,27.174678,0.002397,454,6,5,647,6044,19.061296,1,0,0.099,133,0.937,0
TX149,W32299,3.63774,0.009047,418,14,8,3853,5846,0.666583,0,0,0.85,4,0.714,0
TX150,W53585,39.506779,0.001855,530,7,14,2737,5198,10.754628,0,0,0.097,40,0.069,0
TX151,W74044,10.889822,0.006854,465,12,18,2570,3590,21.428767,0,0,0.479,99,0.376,0
TX152,W52557,33.852214,0.005352,122,1,3,3371,1070,12.253242,0,0,0.194,85,0.578,0
TX153,W59080,40.160803,0.000924,221,10,8,1134,6052,17.256447,0,0,0.927,46,0.673,1
TX154,W12693,28.094286,0.002924,81,1,14,1457,2673,18.901238,0,0,0.107,22,0.345,0
TX155,W79163,37.044419,0.005252,425,16,14,1503,7696,3.027752,0,0,0.117,76,0.429,1
TX156,W35939,33.093354,0.008538,176,7,7,624,6395,3.902082,0,0,0.702,180,0.376,0
TX157,W58925,17.777134,0.007105,394,6,6,1637,4552,18.116595,0,0,0.206,167,0.698,1
TX158,W52941,40.443118,0.006257,30,18,6,1810,941,1.373718,0,0,0.132,107,0.914,0
TX159,W31834,14.735774,0.005011,132,4,12,267,5370,8.553964,0,0,0.168,126,0.778,0
TX160,W28047,28.561075,0.003057,378,16,15,778,6116,22.952909,1,0,0.596,188,0.263,0
TX161,W36105,37.270142,0.001281,28,1,19,668,7728,14.363153,0,0,0.223,79,0.54,0
TX162,W85766,18.948417,0.00415,474,2,4,3285,7793,22.762859,0,1,0.377,13,0.478,0
TX163,W25707,15.139078,0.000382,427,16,3,3381,2658,7.742317,0,1,0.85,21,0.016,0
TX164,W31976,22.967841,0.002189,181,9,13,54,7128,15.919294,0,0,0.176,67,0.938,0
TX165,W54262,40.898357,0.004382,542,15,16,3737,8853,7.175702,0,0,0.826,80,0.466,1
TX166,W33776,46.496158,0.004244,270,16,13,2822,5930,2.786934,0,0,0.775,130,0.943,0
TX167,W40080,27.254626,0.000539,574,9,10,3946,6619,24.767476,0,0,0.831,194,0.664,0
TX168,W76842,33.073649,0.005932,274,7,13,395,2944,4.414041,0,0,0.347,165,0.708,0
TX169,W71373,45.163778,0.005542,333,10,8,512,306,4.720179,0,0,0.472,6,0.427,1
TX170,W16776,4.928244,0.000873,459,7,12,801,9049,21.04954,0,0,0.707,140,0.858,0
TX171,W65016,11.604697,0.009437,299,13,8,325,2942,20.057902,0,0,0.037,95,0.185,0
TX172,W19474,35.445291,0.001084,126,2,9,3810,449,24.445968,0,0,0.664,182,0.959,0
TX173,W68053,41.187399,0.008563,163,12,10,96,7449,1.802883,0,0,0.12,1,0.616,0
TX174,W31959,42.851594,0.000103,182,13,7,2027,2795,2.362199,0,0,0.288,107,0.332,0
TX175,W15530,20.755944,0.008835,332,3,3,174,1231,11.223363,1,0,0.81,164,0.739,0
TX176,W13748,4.467906,0.000295,311,11,5,344,5499,14.797768,0,0,0.635,109,0.745,0
TX177,W23545,21.889636,0.007602,93,8,3,2253,482,0.960349,0,0,0.622,92,0.775,1
TX178,W76199,11.537499,0.003681,42,11,18,55,6418,3.968161,0,0,0.227,177,0.293,1
TX179,W44766,14.560532,0.007408,595,18,19,1771,6425,17.586353,0,1,0.668,147,0.026,0
TX180,W83530,38.613606,0.004077,350,7,10,710,3069,16.716809,0,0,0.132,48,0.889,0
TX181,W71087,3.777279,0.000802,256,12,9,2274,3428,2.251258,0,0,0.965,138,0.798,0
TX182,W78840,41.379233,0.007698,153,6,7,3379,5054,23.292338,0,1,0.253,49,0.402,0
TX183,W64384,21.384027,0.000805,20,10,1,3353,9353,6.376547,0,0,0.827,40,0.166,0
TX184,W61005,29.8036,0.009229,371,15,10,1641,1193,22.181894,0,0,0.92,118,0.469,1
TX185,W56576,4.483522,0.000605,122,15,2,1815,8031,23.075474,0,0,0.172,72,0.306,1
TX186,W49353,16.868617,0.004845,321,19,6,1714,7446,12.256842,1,0,0.01,3,0.194,0
TX187,W72003,4.485956,0.007258,292,6,6,2350,4326,10.305043,1,0,0.874,42,0.486,0
TX188,W93211,48.077225,0.003993,355,19,8,3277,1518,6.960645,0,0,0.764,30,0.83,0
TX189,W62733,40.363275,0.002251,301,15,18,220,2025,20.186476,0,1,0.154,129,0.582,0
TX190,W75318,22.982178,0.007615,198,18,7,3052,8681,4.922749,0,0,0.83,11,0.487,0
TX191,W99474,11.180904,0.007865,396,2,18,428,9901,15.556893,0,0,0.81,84,0.994,0
TX192,W33664,46.672822,0.009235,447,7,1,141,1300,14.18268,0,0,0.461,111,0.76,0
TX193,W77172,17.230485,0.003824,285,5,14,2503,4093,6.229886,0,0,0.947,157,0.132,0
TX194,W95616,8.050061,0.005112,305,3,7,1968,7033,24.576349,0,0,0.582,171,0.417,0
TX195,W36736,28.158656,0.003695,430,6,7,2193,3724,21.159642,0,0,0.443,113,0.465,0
TX196,W10854,47.188762,0.002645,254,6,4,3017,1086,0.523005,0,0,0.013,74,0.611,0
TX197,W48623,0.192511,0.007535,519,1,5,2574,3205,10.562088,1,1,0.953,35,0.682,1
TX198,W17392,11.907004,0.003463,410,19,1,158,2860,8.980708,0,0,0.128,24,0.326,0
TX199,W65680,46.922444,0.004339,248,12,3,105,9373,22.071403,1,0,0.296,70,0.367,0
TX200,W56717,8.555127,0.004096,371,5,13,2790,5409,6.619743,0,0,0.729,49,0.103,1
TX201,W97092,5.663059,0.007155,124,7,7,2938,8023,24.961282,0,0,0.005,71,0.089,0
TX202,W60859,28.509791,0.009186,444,8,6,1950,5476,5.009989,0,0,0.543,120,0.758,0
TX203,W36309,43.092329,0.006701,508,19,6,289,6962,6.104676,0,0,0.159,149,0.926,0
TX204,W97455,23.856014,0.004769,586,6,2,632,3531,16.65538,0,0,0.023,35,0.197,0
TX205,W73734,49.728218,0.007814,437,15,16,3766,3579,4.034811,0,0,0.642,101,0.923,0
TX206,W80467,33.958906,0.006446,187,6,6,1209,9794,22.221167,1,0,0.603,130,0.344,0
TX207,W62662,3.704671,0.0007,465,9,8,1241,2276,2.75713,0,0,0.734,77,0.881,1
TX208,W22688,49.641614,0.001047,122,4,11,1055,4526,24.583102,0,0,0.618,26,0.026,0
TX209,W35342,20.395304,0.000475,35,16,18,279,145,21.867332,0,0,0.442,89,0.091,0
TX210,W47157,14.370839,0.004622,153,10,6,2996,2209,20.993016,0,0,0.479,6,0.435,0
TX211,W77863,27.894401,0.008276,532,1,14,3547,8481,10.186361,0,0,0.22,164,0.848,0
TX212,W62083,15.216075,0.0032,277,11,15,225,5472,12.845905,1,0,0.084,182,0.449,0
TX213,W75733,4.323789,0.003903,389,17,11,1907,4180,11.414384,1,1,0.861,43,0.839,0
TX214,W99045,0.072416,0.009104,106,18,15,3894,534,24.685799,0,0,0.691,71,0.341,1
TX215,W44698,22.479718,0.008385,76,15,13,1711,6269,0.8803,0,0,0.123,103,0.132,0
TX216,W90623,41.843334,0.006684,412,6,6,3249,181,9.548907,0,0,0.264,187,0.925,0
TX217,W32671,28.616187,0.002741,351,16,4,84,3033,24.210024,0,0,0.863,58,0.077,0
TX218,W35184,49.960366,0.001259,371,2,14,1592,9260,9.241061,1,0,0.96,179,0.707,0
TX219,W52107,14.343045,0.000259,553,3,13,2140,930,9.965599,1,0,0.791,131,0.883,0
TX220,W96202,14.023473,0.001159,295,17,10,8,7964,15.786206,0,0,0.57,129,0.12,0
TX221,W61663,7.988313,0.002997,426,8,12,3734,4515,22.682647,0,0,0.869,144,0.519,0
TX222,W25708,8.204015,0.005563,185,15,8,3646,964,7.370109,0,1,0.627,157,0.053,0
TX223,W59811,14.260045,0.000734,118,13,5,3126,6921,23.690659,0,0,0.699,175,0.459,1
TX224,W12811,39.642209,0.001449,242,19,2,3235,3350,7.071217,0,0,0.827,106,0.787,0
TX225,W66250,45.287934,0.001893,98,1,12,1655,7385,20.386708,1,0,0.354,129,0.304,0
TX226,W82082,48.754383,0.006357,264,12,6,479,3157,6.903195,1,0,0.785,78,0.233,0
TX227,W44754,11.61525,0.006196,111,18,15,108,2841,1.833861,0,0,0.207,103,0.252,0
TX228,W21411,44.064996,0.005553,248,18,18,3928,7505,20.309441,0,0,0.194,65,0.791,0
TX229,W12911,16.413426,0.00258,427,3,18,1295,2127,11.257409,0,0,0.811,154,0.974,0
TX230,W77270,5.642914,0.003774,339,18,10,3698,5639,9.774816,0,0,0.564,148,0.228,0
TX231,W93763,43.501376,0.001057,27,17,7,2285,3899,10.752776,0,0,0.414,92,0.069,0
TX232,W18680,31.805646,0.002342,275,11,10,2015,1760,15.293291,0,0,0.523,132,0.126,0
TX233,W94896,8.23738,0.008987,144,5,5,3333,1480,6.574709,0,0,0.978,64,0.628,0
TX234,W93879,21.492133,0.009799,470,7,16,3030,4803,5.939491,0,0,0.894,24,0.676,0
TX235,W81295,14.363597,0.006512,458,18,19,2577,7652,12.091146,0,0,0.508,24,0.449,0
TX236,W98614,36.839992,0.009177,388,7,3,1628,977,0.900478,0,0,0.547,47,0.079,0
TX237,W21111,22.671358,0.006463,598,18,7,629,9153,16.074806,0,0,0.614,10,0.928,0
TX238,W47504,49.464008,0.000429,381,2,19,1411,3428,20.572874,1,0,0.791,18,0.93,0
TX239,W11802,2.738194,0.009968,442,6,12,3475,81,18.188146,0,0,0.874,17,0.394,0
TX240,W18155,17.751408,0.00108,426,8,10,3430,7290,11.737869,0,0,0.147,6,0.821,0
TX241,W83656,24.095526,0.006858,160,17,5,1243,4666,14.139104,0,0,0.628,124,0.899,0
TX242,W49384,25.157175,0.002603,339,4,2,1489,2860,0.664258,0,0,0.227,86,0.508,0
TX243,W57254,15.797475,0.003981,535,17,3,3040,9849,22.809721,0,0,0.622,3,0.601,0
TX244,W31918,36.462283,0.006495,585,16,14,3493,1072,13.955983,0,0,0.171,148,0.733,1
TX245,W95981,43.737479,0.004421,136,15,15,1173,9853,7.917064,0,0,0.808,127,0.891,0
TX246,W70713,46.936026,0.00258,505,15,13,1381,2457,7.346622,0,0,0.661,40,0.089,0
TX247,W40306,40.254864,0.003411,526,8,17,3123,9017,16.494856,0,0,0.866,76,0.053,0
TX248,W26646,42.529159,0.003481,144,17,4,2102,3085,14.612379,0,0,0.944,133,0.675,0
TX249,W56843,27.527714,0.009597,139,19,19,1163,1869,4.704186,0,0,0.934,190,0.048,0
TX250,W26371,41.294585,0.008006,411,1,15,1694,3852,10.253879,0,0,0.145,145,0.104,0
TX251,W87371,15.175892,0.00464,98,13,15,1882,6368,16.907772,0,0,0.377,26,0.422,0
TX252,W12049,19.92454,0.002078,245,6,9,2797,4323,7.448392,0,0,0.483,173,0.182,0
TX253,W41616,15.846334,0.008129,169,10,3,3185,988,12.736822,0,0,0.789,121,0.899,0
TX254,W30932,23.369899,0.001656,329,1,2,427,5484,6.379433,0,0,0.015,45,0.332,0
TX255,W39855,14.279695,0.002184,222,12,7,2546,8383,1.801321,0,0,0.925,84,0.578,0
TX256,W71434,48.080611,0.003724,235,19,9,1316,8184,9.712262,0,0,0.407,44,0.01,0
TX257,W82694,15.642919,0.008815,586,15,5,2394,6846,18.304611,1,0,0.631,42,0.513,0
TX258,W53016,4.903129,0.001405,590,5,17,511,8052,5.354122,1,0,0.981,49,0.81,0
TX259,W17400,26.341331,0.00131,183,2,3,441,1024,18.86504,0,0,0.883,79,0.968,0
TX260,W52642,2.855897,0.00499,84,19,9,1770,7607,16.740613,0,0,0.362,20,0.679,0
TX261,W25151,5.528048,0.002836,358,14,8,1656,3295,12.689186,0,0,0.485,127,0.203,0
TX262,W61407,10.97025,0.00573,165,9,9,3675,7128,24.286677,1,0,0.77,32,0.363,1
TX263,W76690,23.218048,0.004571,431,1,17,922,8052,22.086529,1,0,0.744,29,0.157,0
TX264,W14499,21.663113,0.004406,407,13,8,2027,3114,14.083774,0,1,0.705,125,0.338,1
TX265,W16295,39.984793,0.001209,36,17,14,2770,3664,13.948919,0,1,0.011,128,0.561,0
TX266,W69040,36.973993,0.001496,125,2,16,3553,5746,6.951505,0,0,0.199,196,0.487,0
TX267,W22183,21.316488,0.008229,519,14,18,2276,7532,23.005758,0,0,0.222,32,0.874,0
TX268,W39299,16.685877,0.00887,389,6,17,3045,1157,22.399254,0,0,0.251,74,0.204,0
TX269,W22874,15.824123,0.002423,429,6,7,2658,9904,18.554002,0,0,0.096,71,0.434,1
TX270,W42711,38.69998,0.001223,480,18,15,2876,8355,3.205773,0,0,0.807,94,0.632,0
TX271,W15539,2.604568,0.000629,564,19,7,1114,4400,17.594112,1,0,0.341,88,0.981,0
